Location Id,Location,Product Id,Product,Total Pulls,Total Products Restocked,Total Restock Incidents,Total OOS Incidents,Avg Daily Pulls,Restocking Frequency (per day),OOS Frequency (per day),Avg OOS Duration (hours),OOS-to-Restock Ratio,Velocity-to-Restock Ratio,OOS Duration per Fill,Pulls per Fill
2394,Store B,822,Product 8,62.0,192.0,63,0.0,0.08157894736842101,0.08289473684210522,0.0,0.0,0.0,0.8219020288693372,,0.9242870790712219
2394,Store B,823,Product 24,30.0,101.0,27,0.0,0.03947368421052626,0.03552631578947364,0.0,0.0,0.0,0.8700297304333594,,1.1230531896187352
2394,Store B,824,Product 6,9.0,145.0,15,0.0,0.014802631578947324,0.01973684210526312,0.0,0.0,0.0,0.47548906432591165,,0.7875991578129737
2394,Store B,830,Product 7,10.0,87.0,13,0.0,0.016447368421052624,0.0171052631578947,0.0,0.0,0.0,0.6159493161705556,,0.9958513082428391
2394,Store B,831,Product 15,1429.0,1466.0,605,4.0,1.880263157894737,0.7960526315789473,0.005263157894736839,2.4999563055555556,0.006298716636485316,2.3355074452555438,0.39366290930722864,2.3647341529672428
2680,Store A,1250,Product 11,1965.0,1952.0,942,97.0,2.585526315789474,1.2394736842105263,0.1276315789473684,8.382150064984597,0.10433999944571333,2.074932801731836,0.8635672718833847,2.0917605362083806
2680,Store A,1252,Product 19,1137.0,1166.0,630,16.0,1.4960526315789473,0.8289473684210525,0.02105263157894734,10.437511013888889,0.025847023328946107,1.7851975240495133,0.3782011130182643,1.8066957854918932
2680,Store A,1253,Product 3,6740.0,7090.0,3276,93.0,8.868421052631579,4.310526315789474,0.12236842105263154,1.018658898038435,0.028036302819844816,2.0560232695824237,0.0326845765490651,2.0607878838580094
2680,Store A,1254,Product 17,1828.0,1960.0,837,39.0,2.405263157894737,1.101315789473684,0.05131578947368416,6.471075031794132,0.046420667121589924,2.1641173528565703,0.2863814496128273,2.1836749286380748
2680,Store A,1256,Product 1,37434.0,37160.0,13974,599.0,49.25526315789474,18.38684210526316,0.7881578947368422,0.3140403668901966,0.04288013192022052,2.6771130751891894,0.013730089669497677,2.6785595421566986
2680,Store A,1257,Product 16,2877.0,2853.0,1056,159.0,3.785526315789473,1.3894736842105264,0.20921052631578943,8.755362562694371,0.1529539101737376,2.719043911880418,1.4767443531579114,2.7386976612700473
2680,Store A,1258,Product 14,2615.0,2534.0,913,158.0,3.44078947368421,1.2013157894736843,0.20789473684210522,6.653191890692713,0.17730746018396326,2.8446729475081463,1.1963958668234604,2.8686510507233827
2680,Store A,1261,Product 22,1705.0,1855.0,723,78.0,2.243421052631579,0.9513157894736842,0.10263157894736838,6.80287865432273,0.10831772199884335,2.3477649150102033,0.7731536809942253,2.3728536237236937
2680,Store A,1263,Product 13,2409.0,2509.0,1069,89.0,3.169736842105263,1.4065789473684212,0.11710526315789468,6.6898465934708184,0.08541148869430155,2.2408242277129125,0.4384653699455547,2.2569040451628837
2680,Store A,1264,Product 23,1131.0,1219.0,617,11.0,1.4881578947368421,0.8118421052631579,0.0144736842105263,6.909612444444446,0.018669388258639032,1.8019504176094212,0.14230681396735798,1.8243285565433258
2680,Store A,1265,Product 21,1729.0,1824.0,698,89.0,2.275,0.9184210526315789,0.11710526315789468,11.350281385686438,0.12692666847886871,2.4574003464676224,1.1689379283632564,2.4841957371620653
2680,Store A,1268,Product 10,2462.0,2294.0,1125,368.0,3.239473684210526,1.480263157894737,0.4842105263157895,5.529005491557576,0.33024367785118325,2.187944163675588,1.8855915984243796,2.2028668360330554
2680,Store A,1269,Product 20,1450.0,1308.0,660,257.0,1.907894736842105,0.868421052631579,0.3381578947368421,10.992669876363996,0.3896171224388939,2.170154055367909,4.306565963375185,2.195076818229042
2680,Store A,1270,Product 9,2335.0,2328.0,1139,195.0,3.0723684210526314,1.4986842105263158,0.25657894736842096,10.55810908948394,0.1720341063340457,2.0491043007030436,1.776667331160813,2.0629838536060747
2680,Store A,1287,Product 4,6004.0,6299.0,2749,315.0,7.9,3.6171052631578946,0.41447368421052627,4.168911722946175,0.11521962261544343,2.1779372039763105,0.4781685134313465,2.1839492547665555
2680,Store A,1288,Product 5,3692.0,3728.0,1748,150.0,4.8578947368421055,2.3,0.19736842105263153,5.065300715149235,0.0856493782264069,2.0989026439061247,0.4244846290828882,2.1079576214353155
2680,Store A,1289,Product 2,13570.0,14118.0,5976,346.0,17.855263157894736,7.863157894736841,0.4552631578947368,0.8804113485278446,0.05782606016633696,2.268136215538594,0.05197724605836572,2.2710068297228077
2680,Store A,1299,Product 25,1408.0,1241.0,518,209.0,1.8526315789473684,0.6815789473684211,0.275,17.542710095914707,0.40632634539608087,2.6979786200520133,7.251496722239672,2.7379314541337543
2680,Store A,1306,Product 18,2389.0,2421.0,858,181.0,3.143421052631579,1.1289473684210527,0.23815789473684207,8.355514761504397,0.21250780980766545,2.763767464307475,1.8113574831527561,2.7882485206255767
2680,Store A,1308,Product 12,1836.0,1888.0,857,47.0,2.4157894736842103,1.1276315789473685,0.061842105263157844,10.86657393034188,0.055560860842735746,2.1290826488855847,0.5205732892487007,2.14793617382384
