Location Id,Location,Deployment Id,Deployment,Product Id,Product,Total Pulls,Total Products Restocked,Total Restock Incidents,Total OOS Incidents,Avg Daily Pulls,Restocking Frequency (per day),OOS Frequency (per day),Avg OOS Duration (hours),OOS-to-Restock Ratio,Velocity-to-Restock Ratio,OOS Duration per Fill,Pulls per Fill
2394,Store B,6,Shelf 6,822,Product 8,5.0,33.0,8,0.0,0.0328947368421052,0.0526315789473684,0.0,0.0,0.0,0.5252100840336126,,0.6242197253433208
2394,Store B,6,Shelf 6,823,Product 24,5.0,19.0,6,0.0,0.0328947368421052,0.0394736842105263,0.0,0.0,0.0,0.6648936170212755,,0.831946755407654
2394,Store B,6,Shelf 6,824,Product 6,1.0,29.0,3,0.0,0.006578947368421,0.0197368421052631,0.0,0.0,0.0,0.221238938053096,,0.33222591362126247
2394,Store B,6,Shelf 6,830,Product 7,2.0,19.0,3,0.0,0.0131578947368421,0.0197368421052631,0.0,0.0,0.0,0.4424778761061953,,0.6644518272425249
2394,Store B,6,Shelf 6,831,Product 15,297.0,286.0,114,0.0,1.9539473684210529,0.75,0.0,0.0,0.0,2.5709833795013854,,2.6050346460836766
2394,Store B,7,Shelf 7,822,Product 8,17.0,43.0,16,0.0,0.1118421052631579,0.1052631578947368,0.0,0.0,0.0,0.9703196347031968,,1.061836352279825
2394,Store B,7,Shelf 7,823,Product 24,8.0,22.0,7,0.0,0.0526315789473684,0.0460526315789473,0.0,0.0,0.0,0.9389671361502354,,1.1412268188302426
2394,Store B,7,Shelf 7,824,Product 6,0.0,27.0,2,0.0,,0.0131578947368421,0.0,0.0,0.0,,,
2394,Store B,7,Shelf 7,830,Product 7,2.0,17.0,2,0.0,0.0131578947368421,0.0131578947368421,0.0,0.0,0.0,0.5681818181818181,,0.9950248756218907
2394,Store B,7,Shelf 7,831,Product 15,276.0,294.0,123,0.0,1.8157894736842104,0.8092105263157895,0.0,0.0,0.0,2.2165114037905553,,2.243720022762377
2394,Store B,8,Shelf 8,822,Product 8,21.0,42.0,15,0.0,0.1381578947368421,0.0986842105263157,0.0,0.0,0.0,1.2711864406779672,,1.3990672884743505
2394,Store B,8,Shelf 8,823,Product 24,5.0,19.0,4,0.0,0.0328947368421052,0.0263157894736842,0.0,0.0,0.0,0.905797101449274,,1.2468827930174564
2394,Store B,8,Shelf 8,824,Product 6,4.0,29.0,3,0.0,0.0263157894736842,0.0197368421052631,0.0,0.0,0.0,0.8849557522123906,,1.3289036544850499
2394,Store B,8,Shelf 8,830,Product 7,2.0,16.0,2,0.0,0.0131578947368421,0.0131578947368421,0.0,0.0,0.0,0.5681818181818181,,0.9950248756218907
2394,Store B,8,Shelf 8,831,Product 15,285.0,298.0,124,0.0,1.875,0.8157894736842105,0.0,0.0,0.0,2.270554493307839,,2.2982017579227483
2394,Store B,9,Shelf 9,822,Product 8,5.0,33.0,7,0.0,0.0328947368421052,0.0460526315789473,0.0,0.0,0.0,0.5868544600938962,,0.7132667617689016
2394,Store B,9,Shelf 9,823,Product 24,7.0,21.0,5,0.0,0.0460526315789473,0.0328947368421052,0.0,0.0,0.0,1.0736196319018405,,1.3972055888223553
2394,Store B,9,Shelf 9,824,Product 6,3.0,34.0,6,0.0,0.0197368421052631,0.0394736842105263,0.0,0.0,0.0,0.39893617021276495,,0.49916805324459235
2394,Store B,9,Shelf 9,830,Product 7,0.0,16.0,3,0.0,,0.0197368421052631,0.0,0.0,0.0,,,
2394,Store B,9,Shelf 9,831,Product 15,269.0,278.0,117,0.0,1.769736842105263,0.7697368421052632,0.0,0.0,0.0,2.269659129260884,,2.2989488077942055
2394,Store B,10,Shelf 10,822,Product 8,14.0,41.0,17,0.0,0.0921052631578947,0.1118421052631579,0.0,0.0,0.0,0.7559395248380127,,0.8230452674897119
2394,Store B,10,Shelf 10,823,Product 24,5.0,20.0,5,0.0,0.0328947368421052,0.0328947368421052,0.0,0.0,0.0,0.7668711656441713,,0.9980039920159681
2394,Store B,10,Shelf 10,824,Product 6,1.0,26.0,1,0.0,0.006578947368421,0.006578947368421,0.0,0.0,0.0,0.39682539682539497,,0.9900990099009901
2394,Store B,10,Shelf 10,830,Product 7,4.0,19.0,3,0.0,0.0263157894736842,0.0197368421052631,0.0,0.0,0.0,0.8849557522123906,,1.3289036544850499
2394,Store B,10,Shelf 10,831,Product 15,302.0,310.0,127,4.0,1.986842105263158,0.8355263157894737,0.0263157894736842,12.499781527777778,0.03149358318242658,2.3498288204170557,0.39366290930722864,2.377765530273207
2680,Store A,1,Shelf 1,1250,Product 11,415.0,405.0,193,23.0,2.7302631578947367,1.269736842105263,0.1513157894736842,5.970998550724637,0.11916481011346564,2.1334567139625746,0.7115329084848799,2.1501476607429666
2680,Store A,1,Shelf 1,1252,Product 19,189.0,223.0,122,2.0,1.243421052631579,0.8026315789473685,0.0131578947368421,0.1666725,0.01639209900827801,1.5301165803108807,0.0027321121219572165,1.549053356282272
2680,Store A,1,Shelf 1,1253,Product 3,1419.0,1539.0,713,19.0,9.335526315789474,4.690789473684211,0.125,1.1926683333333332,0.026647592600384285,1.9859486088562954,0.03178173985404599,1.990154415786595
2680,Store A,1,Shelf 1,1254,Product 17,365.0,385.0,161,10.0,2.401315789473684,1.0592105263157894,0.0657894736842105,4.651071666666667,0.06210794360598721,2.245877430470096,0.2888684967807383,2.266939941618533
2680,Store A,1,Shelf 1,1256,Product 1,7557.0,7559.0,2833,92.0,49.7171052631579,18.63815789473684,0.6052631578947368,0.2527432367149758,0.032474294125329595,2.666059861987215,0.008207658207269927,2.667480877229519
